Symbol,Name,Open,High,Low,Close,Pct_Change
PAXG,PAX Gold,1921.83,1978.27,1909.28,1959.77,0.02
SNGLS,SingularDTV,0.0,0.0,0.0,0.0,0.0
UST,TerraUSD,1.0,1.06,1.0,1.0,0.0
USDC,USD Coin,1.0,1.0,1.0,1.0,-0.0
LUNA,Terra,50.68,53.9,49.0,50.67,0.0
DAI,Dai,1.0,1.0,1.0,1.0,0.0
USDT,Tether,1.0,1.0,1.0,1.0,-0.0
PAX,Paxos Standard,1.0,1.0,0.99,1.0,-0.01
LSK,Lisk,1.69,1.77,1.61,1.66,-0.02
TRX,Tron,0.06,0.06,0.06,0.06,-0.04
BTT,BitTorrent,0.0,0.0,0.0,0.0,-0.05
WBTC,Wrapped Bitcoin,39147.04,39484.74,36856.1,37040.71,-0.05
ETH,Ethereum,2722.95,2758.98,2555.0,2577.48,-0.05
AMP,Amp,0.03,0.03,0.03,0.03,-0.05
REP,Augur,14.09,15.34,13.25,13.31,-0.05
BTC,Bitcoin,39161.92,39486.5,36839.0,37045.18,-0.05
MLN,Enzyme,55.38,56.36,51.81,51.92,-0.06
BSV,Bitcoin SV,85.84,86.85,80.89,81.07,-0.06
NANO,Nano,2.02,2.19,1.87,1.89,-0.06
XMR,Monero,158.0,161.82,147.3,148.36,-0.06
EOS,EOS,2.26,2.28,2.06,2.09,-0.07
NMR,Numeraire,28.49,29.04,26.3,26.45,-0.07
DOT,Polkadot,17.42,17.74,16.04,16.21,-0.07
BNT,Bancor,2.34,2.38,2.15,2.17,-0.07
YFI,Yearn Finance,21352.34,21922.05,19526.5,19784.27,-0.07
XEM,NEM,0.1,0.1,0.09,0.09,-0.07
XYO,XYO Network,0.02,0.02,0.02,0.02,-0.07
MKR,Maker,1827.55,1860.94,1662.08,1684.34,-0.08
ICP,Internet Computer,19.24,19.47,17.39,17.56,-0.08
FIL,Filecoin,20.29,20.47,18.52,18.72,-0.08
BTG,Bitcoin Gold,29.68,30.08,27.11,27.14,-0.08
BCH,Bitcoin Cash,309.55,309.98,281.88,285.47,-0.08
DOGE,Dogecoin,0.14,0.14,0.13,0.13,-0.08
AAVE,Aave,142.55,144.73,127.73,129.55,-0.09
LTC,Litecoin,113.66,114.5,102.27,103.03,-0.09
ALGO,Algorand,0.87,0.88,0.78,0.79,-0.09
ETC,Ethereum Classic,28.24,28.39,24.86,25.67,-0.09
SNX,Synthetix,4.19,4.27,3.71,3.75,-0.1
SC,Siacoin,0.01,0.01,0.01,0.01,-0.1
COMP,Compound,118.2,119.98,105.31,106.23,-0.1
CELO,Celo,2.67,2.71,2.39,2.41,-0.1
DNT,district0x,0.08,0.08,0.07,0.07,-0.1
LINK,Chainlink,15.12,15.31,13.4,13.56,-0.1
ICX,ICON,0.69,0.7,0.61,0.62,-0.1
SHIB,Shiba Inu,0.0,0.0,0.0,0.0,-0.1
COTI,COTI,0.23,0.23,0.2,0.21,-0.1
IOTX,IoTeX,0.08,0.09,0.07,0.07,-0.1
REN,Ren,0.3,0.31,0.27,0.27,-0.1
KAVA,Kava.io,3.26,3.3,2.87,2.88,-0.11
KEEP,Keep Network,0.61,0.62,0.55,0.55,-0.11
SKL,Skale,0.14,0.14,0.12,0.12,-0.11
LPT,Livepeer,24.84,25.3,21.74,22.14,-0.11
XLM,Stellar,0.2,0.2,0.18,0.18,-0.11
NKN,NKN,0.21,0.21,0.19,0.19,-0.11
NU,NuCypher,0.46,0.47,0.4,0.41,-0.11
KSM,Kusama,142.89,144.3,125.33,126.45,-0.11
MATIC,Polygon,1.58,1.62,1.39,1.4,-0.11
UMA,UMA Protocol,5.52,5.69,4.85,4.89,-0.11
QTUM,Qtum,6.41,6.53,5.67,5.7,-0.11
ATOM,Cosmos,26.85,27.31,23.64,23.96,-0.11
OXT,Orchid,0.25,0.25,0.22,0.22,-0.11
OMG,OmiseGO,4.25,4.29,3.74,3.75,-0.11
ZRX,0x,0.58,0.59,0.51,0.52,-0.11
BAT,Basic Attention Token,0.73,0.74,0.64,0.65,-0.11
LRC,Loopring,0.85,0.87,0.74,0.76,-0.11
CVC,Civic,0.26,0.27,0.23,0.23,-0.11
STORJ,Storj,1.01,1.03,0.88,0.89,-0.12
WAVES,Waves,9.74,10.45,8.46,8.53,-0.12
DCR,Decred,58.17,59.51,50.42,51.06,-0.12
XRP,XRP,0.79,0.8,0.69,0.7,-0.12
SAND,The Sandbox,3.32,3.42,2.88,2.9,-0.12
CRV,Curve DAO Token,2.65,2.69,2.31,2.32,-0.12
RLC,iExec RLC,1.82,1.84,1.56,1.59,-0.12
ANT,Aragon,5.09,5.15,4.42,4.51,-0.12
ADA,Cardano,0.97,0.99,0.84,0.85,-0.12
SOL,Solana,94.54,96.16,82.6,83.34,-0.12
IOTA,IOTA,0.81,0.82,0.71,0.72,-0.12
UNI,Uniswap,9.66,9.76,8.45,8.51,-0.12
XTZ,Tezos,3.37,3.47,2.95,2.97,-0.12
ENJ,Enjin Coin,1.6,1.64,1.37,1.39,-0.13
ZEC,Zcash,114.43,114.66,98.82,99.36,-0.13
MANA,Decentraland,2.83,2.96,2.44,2.46,-0.13
DASH,Dash,100.86,101.34,86.4,87.26,-0.13
SUSHI,SushiSwap,3.74,3.8,3.22,3.26,-0.13
GRT,The Graph,0.41,0.42,0.36,0.36,-0.13
AXS,Axie Infinity,54.89,55.98,47.05,47.55,-0.13
CHZ,Chiliz,0.2,0.2,0.17,0.17,-0.14
AVAX,Avalanche,81.22,82.72,68.92,69.77,-0.14
ANKR,Ankr,0.07,0.07,0.06,0.06,-0.14
FET,Fetch.ai,0.32,0.33,0.27,0.27,-0.15
NEO,NEO,23.77,23.94,19.77,20.01,-0.16
BAND,Band Protocol,4.53,4.61,3.75,3.77,-0.17
KNC,Kyber Network,2.09,2.11,1.69,1.7,-0.18
